epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,1498.02,1.67143,1.83853,1.23247,0.73663,0.18239,0.23038,0.11708,1.71963,1.85795,1.37466,7.06537e-05,7.06537e-05,7.06537e-05
151,1508.06,1.63957,1.81594,1.23531,0.44153,0.25329,0.22806,0.1144,1.73306,1.83705,1.39005,7.0195e-05,7.0195e-05,7.0195e-05
152,1518.09,1.65676,1.77398,1.24324,0.46546,0.24319,0.23047,0.1163,1.72877,1.85335,1.38248,6.97363e-05,6.97363e-05,6.97363e-05
153,1528.08,1.61871,1.77342,1.21417,0.47137,0.24984,0.2432,0.12689,1.71024,1.85228,1.37389,6.92776e-05,6.92776e-05,6.92776e-05
154,1538.1,1.66516,1.81149,1.2355,0.71799,0.18121,0.24517,0.12892,1.72889,1.85755,1.38056,6.88189e-05,6.88189e-05,6.88189e-05
155,1548.16,1.6574,1.83245,1.23649,0.72162,0.18345,0.22813,0.12072,1.70928,1.84381,1.3723,6.83602e-05,6.83602e-05,6.83602e-05
156,1558.25,1.65454,1.79774,1.24652,0.65472,0.2037,0.23476,0.122,1.71669,1.85627,1.37839,6.79015e-05,6.79015e-05,6.79015e-05
157,1568.37,1.66165,1.82296,1.239,0.64696,0.20889,0.23545,0.12304,1.70884,1.83536,1.37439,6.74428e-05,6.74428e-05,6.74428e-05
158,1578.48,1.65617,1.77269,1.23415,0.57257,0.24383,0.22823,0.11669,1.71275,1.82521,1.37744,6.69841e-05,6.69841e-05,6.69841e-05
159,1588.5,1.64418,1.77055,1.22472,0.52867,0.2499,0.23537,0.12144,1.70518,1.81659,1.37005,6.65254e-05,6.65254e-05,6.65254e-05
160,1598.61,1.63747,1.75835,1.23117,0.71824,0.18648,0.23624,0.12119,1.70019,1.83297,1.36693,6.60667e-05,6.60667e-05,6.60667e-05
161,1608.67,1.60815,1.77181,1.22086,0.50912,0.26512,0.26455,0.13153,1.69565,1.82796,1.37396,6.5608e-05,6.5608e-05,6.5608e-05
162,1618.82,1.64156,1.78572,1.22618,0.48899,0.25696,0.2569,0.12878,1.70966,1.84102,1.37791,6.51493e-05,6.51493e-05,6.51493e-05
163,1628.92,1.66097,1.77627,1.24279,0.65604,0.19756,0.23643,0.12277,1.69703,1.83156,1.37016,6.46906e-05,6.46906e-05,6.46906e-05
164,1638.98,1.63802,1.79656,1.22373,0.43779,0.25307,0.24645,0.12822,1.70567,1.82991,1.37046,6.42319e-05,6.42319e-05,6.42319e-05
165,1649.01,1.6272,1.72995,1.24606,0.71698,0.18497,0.23513,0.12282,1.71386,1.82626,1.3765,6.37732e-05,6.37732e-05,6.37732e-05
166,1659.07,1.63223,1.78189,1.23019,0.53647,0.25327,0.24503,0.12843,1.71592,1.81885,1.37123,6.33145e-05,6.33145e-05,6.33145e-05
167,1669.12,1.6142,1.71094,1.22772,0.52301,0.26402,0.24923,0.12717,1.6916,1.82681,1.36905,6.28558e-05,6.28558e-05,6.28558e-05
168,1679.21,1.63308,1.71109,1.22553,0.56301,0.25478,0.25175,0.1311,1.7057,1.80886,1.37045,6.23971e-05,6.23971e-05,6.23971e-05
169,1689.26,1.60884,1.70414,1.21737,0.6454,0.22308,0.24525,0.12691,1.69167,1.81192,1.36979,6.19384e-05,6.19384e-05,6.19384e-05
170,1699.3,1.60996,1.71907,1.22003,0.66869,0.22047,0.24512,0.12987,1.6955,1.80664,1.36635,6.14797e-05,6.14797e-05,6.14797e-05
171,1709.34,1.59745,1.71465,1.20183,0.65049,0.23057,0.24687,0.1279,1.71228,1.80782,1.37048,6.1021e-05,6.1021e-05,6.1021e-05
172,1719.4,1.61662,1.69565,1.2358,0.67443,0.21936,0.25014,0.13135,1.70381,1.80924,1.37089,6.05623e-05,6.05623e-05,6.05623e-05
173,1729.46,1.61355,1.66324,1.20882,0.62791,0.22292,0.24018,0.12577,1.70895,1.80793,1.37004,6.01036e-05,6.01036e-05,6.01036e-05
174,1739.52,1.61023,1.72728,1.22409,0.64717,0.22673,0.24103,0.12487,1.70117,1.78739,1.36219,5.96449e-05,5.96449e-05,5.96449e-05
175,1749.57,1.5788,1.68177,1.22192,0.7063,0.1983,0.23363,0.11845,1.7124,1.78506,1.36092,5.91862e-05,5.91862e-05,5.91862e-05
176,1759.63,1.60747,1.73241,1.21889,0.71348,0.21026,0.24152,0.12319,1.72694,1.79701,1.36715,5.87275e-05,5.87275e-05,5.87275e-05
177,1769.68,1.58982,1.69761,1.20177,0.65713,0.21547,0.25703,0.13304,1.708,1.79586,1.36553,5.82688e-05,5.82688e-05,5.82688e-05
178,1779.75,1.59363,1.7482,1.22769,0.58169,0.25699,0.24597,0.12652,1.72264,1.78462,1.36928,5.78101e-05,5.78101e-05,5.78101e-05
179,1789.77,1.60329,1.68367,1.22349,0.66373,0.21771,0.25037,0.1276,1.7137,1.78987,1.36113,5.73514e-05,5.73514e-05,5.73514e-05
180,1799.84,1.62103,1.71974,1.22269,0.54063,0.24153,0.24608,0.12608,1.70213,1.79195,1.36168,5.68927e-05,5.68927e-05,5.68927e-05
181,1809.9,1.55982,1.6936,1.20782,0.59102,0.2321,0.24287,0.12645,1.70958,1.7852,1.36531,5.6434e-05,5.6434e-05,5.6434e-05
182,1819.94,1.62837,1.73411,1.21022,0.54688,0.24655,0.2501,0.12752,1.7133,1.78752,1.36339,5.59753e-05,5.59753e-05,5.59753e-05
183,1829.94,1.59143,1.66947,1.2063,0.65069,0.22496,0.24903,0.12815,1.72495,1.77836,1.36264,5.55166e-05,5.55166e-05,5.55166e-05
184,1839.96,1.608,1.68773,1.23651,0.62063,0.22865,0.24514,0.12766,1.71902,1.77758,1.36554,5.50579e-05,5.50579e-05,5.50579e-05
185,1849.95,1.59003,1.71107,1.20364,0.56325,0.24638,0.24411,0.12522,1.72002,1.7691,1.36313,5.45992e-05,5.45992e-05,5.45992e-05
186,1859.98,1.58291,1.72153,1.19113,0.65621,0.22696,0.23942,0.12307,1.7267,1.77033,1.36635,5.41405e-05,5.41405e-05,5.41405e-05
187,1870.02,1.60806,1.72982,1.21891,0.54283,0.25098,0.23727,0.12386,1.71349,1.75646,1.35956,5.36818e-05,5.36818e-05,5.36818e-05
188,1880.06,1.61959,1.72268,1.21783,0.57294,0.2381,0.24623,0.1284,1.71789,1.76998,1.36125,5.32231e-05,5.32231e-05,5.32231e-05
189,1890.09,1.5685,1.64804,1.20081,0.5547,0.25445,0.24539,0.1269,1.71585,1.7918,1.35992,5.27644e-05,5.27644e-05,5.27644e-05
190,1900.09,1.59002,1.68217,1.2048,0.55565,0.25487,0.24654,0.13006,1.70739,1.78954,1.3542,5.23057e-05,5.23057e-05,5.23057e-05
191,1910.12,1.58545,1.6808,1.19552,0.73334,0.2019,0.24541,0.12937,1.70722,1.76746,1.359,5.1847e-05,5.1847e-05,5.1847e-05
192,1920.15,1.54767,1.65749,1.18448,0.54237,0.26779,0.25628,0.13609,1.71052,1.76977,1.35274,5.13883e-05,5.13883e-05,5.13883e-05
193,1930.17,1.5975,1.64445,1.21812,0.73399,0.20421,0.24378,0.12431,1.70568,1.78211,1.35006,5.09296e-05,5.09296e-05,5.09296e-05
194,1940.21,1.58676,1.66004,1.22623,0.72226,0.20443,0.24713,0.12607,1.72005,1.7895,1.35402,5.04709e-05,5.04709e-05,5.04709e-05
195,1950.29,1.60282,1.65827,1.18336,0.65418,0.21175,0.24862,0.12659,1.72557,1.7942,1.35939,5.00122e-05,5.00122e-05,5.00122e-05
196,1960.35,1.59689,1.70596,1.21147,0.62971,0.22828,0.24271,0.12416,1.717,1.80053,1.3611,4.95535e-05,4.95535e-05,4.95535e-05
197,1970.41,1.56758,1.6539,1.20598,0.55095,0.25386,0.24929,0.12749,1.72265,1.79001,1.37183,4.90948e-05,4.90948e-05,4.90948e-05
198,1980.45,1.54587,1.61576,1.17221,0.63808,0.23806,0.24359,0.1277,1.7186,1.78846,1.36923,4.86361e-05,4.86361e-05,4.86361e-05
199,1990.48,1.59394,1.65422,1.20423,0.66108,0.23796,0.24862,0.12826,1.7171,1.75996,1.36448,4.81774e-05,4.81774e-05,4.81774e-05
200,2000.55,1.56259,1.61846,1.1843,0.67049,0.23326,0.24522,0.12692,1.71713,1.76582,1.3658,4.77187e-05,4.77187e-05,4.77187e-05
201,2010.61,1.55307,1.63112,1.20799,0.68249,0.21783,0.24451,0.12778,1.69946,1.76168,1.3583,4.726e-05,4.726e-05,4.726e-05
202,2020.68,1.58638,1.68881,1.20594,0.57856,0.25048,0.25465,0.13222,1.71068,1.77326,1.35984,4.68013e-05,4.68013e-05,4.68013e-05
203,2030.76,1.5645,1.63569,1.19335,0.7174,0.2113,0.25303,0.13125,1.71055,1.77819,1.35334,4.63426e-05,4.63426e-05,4.63426e-05
204,2040.85,1.58684,1.66237,1.21156,0.66419,0.21555,0.24916,0.1311,1.71176,1.7767,1.35601,4.58839e-05,4.58839e-05,4.58839e-05
205,2050.91,1.56983,1.68496,1.19583,0.66876,0.20958,0.2549,0.13063,1.725,1.7742,1.36057,4.54252e-05,4.54252e-05,4.54252e-05
206,2060.93,1.50924,1.64016,1.18316,0.61611,0.25103,0.25229,0.13146,1.71782,1.77264,1.35411,4.49665e-05,4.49665e-05,4.49665e-05
207,2071.01,1.57599,1.6465,1.20407,0.71375,0.20639,0.25291,0.12862,1.7208,1.76689,1.35387,4.45078e-05,4.45078e-05,4.45078e-05
208,2081.11,1.56116,1.60357,1.19358,0.72141,0.20918,0.25692,0.13195,1.71963,1.76791,1.35585,4.40491e-05,4.40491e-05,4.40491e-05
209,2091.21,1.56727,1.64548,1.20143,0.66152,0.22284,0.25492,0.13346,1.71995,1.78454,1.35974,4.35904e-05,4.35904e-05,4.35904e-05
210,2101.25,1.56034,1.6614,1.18785,0.48169,0.26497,0.25258,0.13139,1.70485,1.78384,1.35935,4.31317e-05,4.31317e-05,4.31317e-05
211,2111.23,1.55289,1.63978,1.1775,0.66067,0.23774,0.25451,0.13368,1.69949,1.77735,1.35589,4.2673e-05,4.2673e-05,4.2673e-05
212,2121.24,1.55987,1.62823,1.18525,0.7083,0.21799,0.24163,0.12662,1.69851,1.78004,1.35244,4.22143e-05,4.22143e-05,4.22143e-05
213,2131.22,1.53561,1.56176,1.19293,0.66663,0.22224,0.25085,0.13211,1.69564,1.78176,1.35088,4.17556e-05,4.17556e-05,4.17556e-05
214,2141.25,1.56917,1.61141,1.20399,0.68471,0.23136,0.25555,0.13414,1.71153,1.7798,1.36077,4.12969e-05,4.12969e-05,4.12969e-05
215,2151.25,1.5445,1.62257,1.19197,0.70208,0.23916,0.25652,0.13424,1.71977,1.75938,1.35862,4.08382e-05,4.08382e-05,4.08382e-05
216,2161.29,1.55893,1.63846,1.17904,0.70712,0.23467,0.25617,0.13365,1.71237,1.77788,1.35923,4.03795e-05,4.03795e-05,4.03795e-05
217,2171.3,1.53852,1.59297,1.18538,0.65827,0.22969,0.25307,0.1318,1.71666,1.77451,1.35698,3.99208e-05,3.99208e-05,3.99208e-05
218,2181.31,1.54355,1.60957,1.18593,0.66807,0.23418,0.25198,0.13106,1.72011,1.77573,1.35477,3.94621e-05,3.94621e-05,3.94621e-05
219,2191.27,1.52069,1.60113,1.18783,0.68193,0.2309,0.25117,0.13163,1.72092,1.76586,1.3593,3.90034e-05,3.90034e-05,3.90034e-05
220,2201.26,1.56824,1.60104,1.19835,0.69532,0.23272,0.24665,0.12913,1.71189,1.75556,1.35605,3.85447e-05,3.85447e-05,3.85447e-05
221,2211.24,1.51464,1.58389,1.18108,0.69964,0.22405,0.24592,0.1278,1.71177,1.76763,1.35632,3.8086e-05,3.8086e-05,3.8086e-05
222,2221.25,1.549,1.57332,1.17938,0.69111,0.22917,0.25406,0.12945,1.71562,1.77317,1.3579,3.76273e-05,3.76273e-05,3.76273e-05
223,2231.22,1.56528,1.6151,1.19836,0.68855,0.23322,0.25124,0.12972,1.72056,1.75588,1.35997,3.71686e-05,3.71686e-05,3.71686e-05
224,2241.23,1.53503,1.60145,1.17496,0.65156,0.2358,0.2473,0.12717,1.71637,1.76062,1.35952,3.67099e-05,3.67099e-05,3.67099e-05
225,2251.23,1.53919,1.61692,1.18886,0.64986,0.24011,0.24648,0.12758,1.71226,1.76209,1.35767,3.62512e-05,3.62512e-05,3.62512e-05
226,2261.24,1.56164,1.6679,1.18408,0.64578,0.23841,0.2519,0.13162,1.71325,1.76356,1.35846,3.57925e-05,3.57925e-05,3.57925e-05
227,2271.24,1.54132,1.60891,1.18026,0.64658,0.23955,0.24846,0.13045,1.71525,1.76734,1.3549,3.53338e-05,3.53338e-05,3.53338e-05
228,2281.28,1.54668,1.6328,1.19261,0.65326,0.23541,0.24566,0.12905,1.70931,1.77472,1.35333,3.48751e-05,3.48751e-05,3.48751e-05
229,2291.25,1.53185,1.59498,1.18635,0.62679,0.24113,0.24492,0.12592,1.71017,1.7663,1.35213,3.44164e-05,3.44164e-05,3.44164e-05
230,2301.26,1.51902,1.57,1.17596,0.62162,0.23945,0.24671,0.12987,1.70819,1.76408,1.35139,3.39577e-05,3.39577e-05,3.39577e-05
231,2311.23,1.49912,1.55642,1.18734,0.66678,0.24041,0.25089,0.13322,1.70254,1.74534,1.34813,3.3499e-05,3.3499e-05,3.3499e-05
232,2321.25,1.51712,1.52334,1.1642,0.68828,0.22753,0.25926,0.1369,1.70197,1.74022,1.34934,3.30403e-05,3.30403e-05,3.30403e-05
233,2331.25,1.51172,1.56875,1.17742,0.61112,0.25826,0.27104,0.14291,1.70166,1.74097,1.3488,3.25816e-05,3.25816e-05,3.25816e-05
234,2341.27,1.51038,1.58467,1.17209,0.70862,0.21583,0.26492,0.13997,1.70327,1.73381,1.34712,3.21229e-05,3.21229e-05,3.21229e-05
235,2351.25,1.5184,1.53194,1.18617,0.70416,0.21864,0.26528,0.14095,1.7002,1.74603,1.34679,3.16642e-05,3.16642e-05,3.16642e-05
236,2361.28,1.52545,1.58288,1.17655,0.72805,0.21733,0.26621,0.1444,1.69691,1.74576,1.34639,3.12055e-05,3.12055e-05,3.12055e-05
237,2371.27,1.50713,1.55356,1.17916,0.73682,0.21759,0.26229,0.1401,1.70163,1.73761,1.34482,3.07468e-05,3.07468e-05,3.07468e-05
238,2381.29,1.4862,1.51568,1.16927,0.71458,0.22203,0.26594,0.13859,1.70048,1.74306,1.3458,3.02881e-05,3.02881e-05,3.02881e-05
239,2391.32,1.49312,1.54246,1.16655,0.72893,0.20774,0.25831,0.13537,1.694,1.73886,1.34326,2.98294e-05,2.98294e-05,2.98294e-05
240,2401.36,1.52652,1.57446,1.16369,0.69766,0.22647,0.25881,0.13682,1.70045,1.74177,1.34372,2.93707e-05,2.93707e-05,2.93707e-05
241,2411.49,1.53069,1.54129,1.20623,0.67852,0.22409,0.2593,0.13559,1.70357,1.73787,1.34415,2.8912e-05,2.8912e-05,2.8912e-05
242,2421.59,1.50788,1.54405,1.1752,0.68823,0.22119,0.26147,0.13725,1.70297,1.74386,1.3471,2.84533e-05,2.84533e-05,2.84533e-05
243,2431.59,1.50391,1.56581,1.19567,0.7107,0.22036,0.27077,0.14194,1.70561,1.74523,1.34895,2.79946e-05,2.79946e-05,2.79946e-05
244,2441.73,1.54747,1.59627,1.16873,0.71673,0.21046,0.2671,0.1398,1.70163,1.74752,1.34778,2.75359e-05,2.75359e-05,2.75359e-05
245,2451.71,1.50718,1.54445,1.17439,0.71593,0.21198,0.26743,0.13993,1.70748,1.74427,1.35185,2.70772e-05,2.70772e-05,2.70772e-05
246,2461.72,1.5456,1.57129,1.17596,0.64895,0.2192,0.26582,0.14048,1.70154,1.74477,1.34712,2.66185e-05,2.66185e-05,2.66185e-05
247,2471.71,1.51615,1.52315,1.16792,0.65478,0.23507,0.27324,0.14134,1.70302,1.74367,1.35038,2.61598e-05,2.61598e-05,2.61598e-05
248,2481.71,1.51502,1.52307,1.16873,0.65355,0.23853,0.26368,0.1373,1.70398,1.75234,1.35017,2.57011e-05,2.57011e-05,2.57011e-05
249,2491.71,1.50173,1.52019,1.15278,0.65459,0.24144,0.26501,0.13803,1.70666,1.74294,1.34996,2.52424e-05,2.52424e-05,2.52424e-05
250,2501.72,1.51063,1.57273,1.18995,0.65259,0.2414,0.26702,0.13915,1.71025,1.74052,1.35107,2.47837e-05,2.47837e-05,2.47837e-05
251,2511.78,1.47209,1.5086,1.17239,0.64641,0.24473,0.25957,0.13387,1.71409,1.74632,1.35153,2.4325e-05,2.4325e-05,2.4325e-05
252,2521.79,1.49146,1.5737,1.15882,0.65519,0.23762,0.26335,0.13491,1.71837,1.74056,1.35176,2.38663e-05,2.38663e-05,2.38663e-05
253,2531.81,1.46739,1.52006,1.16719,0.65047,0.25182,0.26591,0.13756,1.71352,1.7365,1.34987,2.34076e-05,2.34076e-05,2.34076e-05
254,2541.82,1.50735,1.53228,1.15849,0.66191,0.25633,0.27494,0.13965,1.71629,1.73559,1.35135,2.29489e-05,2.29489e-05,2.29489e-05
255,2551.79,1.50757,1.52886,1.16054,0.66279,0.25471,0.26662,0.13553,1.71924,1.74295,1.35124,2.24902e-05,2.24902e-05,2.24902e-05
256,2561.74,1.51796,1.50879,1.16092,0.65669,0.24426,0.25963,0.13417,1.71984,1.74147,1.35203,2.20315e-05,2.20315e-05,2.20315e-05
257,2571.69,1.51022,1.55808,1.16391,0.653,0.24545,0.25905,0.13549,1.72236,1.73362,1.35266,2.15728e-05,2.15728e-05,2.15728e-05
258,2581.68,1.50312,1.55867,1.16457,0.65481,0.24383,0.25771,0.13463,1.71804,1.73271,1.35088,2.11141e-05,2.11141e-05,2.11141e-05
259,2591.66,1.46336,1.53084,1.15414,0.65673,0.24489,0.26639,0.13832,1.72219,1.7356,1.35251,2.06554e-05,2.06554e-05,2.06554e-05
260,2601.64,1.47291,1.53208,1.15398,0.68188,0.24593,0.26771,0.13818,1.71933,1.73781,1.35179,2.01967e-05,2.01967e-05,2.01967e-05
261,2611.6,1.49711,1.5265,1.15495,0.65813,0.24339,0.25921,0.13531,1.71743,1.73163,1.35201,1.9738e-05,1.9738e-05,1.9738e-05
262,2621.53,1.47317,1.48809,1.15293,0.65743,0.24672,0.26358,0.13837,1.7156,1.73452,1.35148,1.92793e-05,1.92793e-05,1.92793e-05
263,2631.33,1.50039,1.4891,1.16126,0.66057,0.2444,0.25873,0.13532,1.717,1.73595,1.35008,1.88206e-05,1.88206e-05,1.88206e-05
264,2641.15,1.47362,1.52921,1.16009,0.65644,0.23859,0.25736,0.13485,1.71914,1.73732,1.35166,1.83619e-05,1.83619e-05,1.83619e-05
265,2650.94,1.45128,1.52789,1.14628,0.65776,0.23997,0.25676,0.13504,1.71725,1.73435,1.35159,1.79032e-05,1.79032e-05,1.79032e-05
266,2660.77,1.53188,1.50413,1.16724,0.68621,0.22284,0.25785,0.13533,1.71876,1.73151,1.35161,1.74445e-05,1.74445e-05,1.74445e-05
267,2670.56,1.47145,1.50656,1.15573,0.6877,0.22257,0.26092,0.13732,1.71955,1.73209,1.35131,1.69858e-05,1.69858e-05,1.69858e-05
268,2680.46,1.50496,1.53196,1.15312,0.72461,0.22807,0.26547,0.13623,1.71783,1.72785,1.35098,1.65271e-05,1.65271e-05,1.65271e-05
269,2690.31,1.48565,1.49471,1.16039,0.7042,0.22953,0.27302,0.13921,1.71667,1.72945,1.34991,1.60684e-05,1.60684e-05,1.60684e-05
270,2700.26,1.50481,1.49051,1.16835,0.69586,0.22389,0.26369,0.1373,1.71876,1.72882,1.34958,1.56097e-05,1.56097e-05,1.56097e-05
271,2710.17,1.43685,1.46551,1.15688,0.69853,0.22358,0.26869,0.14008,1.7178,1.7269,1.35135,1.5151e-05,1.5151e-05,1.5151e-05
272,2719.98,1.49235,1.55351,1.17213,0.69663,0.22608,0.26627,0.13895,1.72156,1.72928,1.35253,1.46923e-05,1.46923e-05,1.46923e-05
273,2729.85,1.46866,1.5008,1.16115,0.72075,0.22776,0.27079,0.14037,1.7228,1.72575,1.35142,1.42336e-05,1.42336e-05,1.42336e-05
274,2739.67,1.48768,1.5478,1.16383,0.72086,0.22576,0.27025,0.14044,1.72186,1.71964,1.35042,1.37749e-05,1.37749e-05,1.37749e-05
275,2749.45,1.48408,1.51354,1.18356,0.71927,0.22359,0.27009,0.14095,1.72059,1.72408,1.3513,1.33162e-05,1.33162e-05,1.33162e-05
276,2759.37,1.48287,1.48494,1.14838,0.71666,0.22457,0.2729,0.14217,1.72164,1.71813,1.35171,1.28575e-05,1.28575e-05,1.28575e-05
277,2769.2,1.48787,1.46709,1.14678,0.71294,0.22297,0.27468,0.14295,1.72411,1.72201,1.35189,1.23988e-05,1.23988e-05,1.23988e-05
278,2779.01,1.4673,1.46322,1.17796,0.71466,0.22336,0.27523,0.14144,1.72582,1.72195,1.35181,1.19401e-05,1.19401e-05,1.19401e-05
279,2788.81,1.48076,1.48819,1.15977,0.68766,0.22392,0.27641,0.14205,1.72512,1.72226,1.35151,1.14814e-05,1.14814e-05,1.14814e-05
280,2798.73,1.49449,1.51371,1.15281,0.6865,0.23531,0.27175,0.1381,1.72262,1.71803,1.35027,1.10227e-05,1.10227e-05,1.10227e-05
281,2808.6,1.4974,1.52378,1.15046,0.7139,0.23429,0.27088,0.13822,1.72098,1.71646,1.34967,1.0564e-05,1.0564e-05,1.0564e-05
282,2818.44,1.48824,1.50064,1.14667,0.71095,0.23024,0.27001,0.13857,1.72098,1.71478,1.35073,1.01053e-05,1.01053e-05,1.01053e-05
283,2828.29,1.49556,1.53113,1.16488,0.70963,0.22933,0.27677,0.14339,1.71835,1.71057,1.34904,9.6466e-06,9.6466e-06,9.6466e-06
284,2838.33,1.45431,1.44662,1.1448,0.71733,0.22669,0.28002,0.14442,1.71855,1.71427,1.34801,9.1879e-06,9.1879e-06,9.1879e-06
285,2848.53,1.49839,1.55248,1.16066,0.72003,0.22607,0.27879,0.14423,1.72027,1.71265,1.34895,8.7292e-06,8.7292e-06,8.7292e-06
286,2858.33,1.45833,1.49431,1.16122,0.72149,0.22523,0.27603,0.14191,1.72051,1.71693,1.34899,8.2705e-06,8.2705e-06,8.2705e-06
287,2868.16,1.49849,1.49028,1.18262,0.72101,0.22298,0.27781,0.14413,1.72105,1.71575,1.34844,7.8118e-06,7.8118e-06,7.8118e-06
288,2877.91,1.48428,1.47812,1.15986,0.72209,0.22249,0.278,0.14287,1.7214,1.71539,1.34891,7.3531e-06,7.3531e-06,7.3531e-06
289,2887.87,1.47312,1.49546,1.16276,0.7219,0.22261,0.27671,0.1427,1.72085,1.71686,1.3485,6.8944e-06,6.8944e-06,6.8944e-06
290,2897.65,1.42655,1.43588,1.14436,0.72138,0.22327,0.27538,0.14123,1.71923,1.72471,1.34852,6.4357e-06,6.4357e-06,6.4357e-06
291,2910.15,1.43623,1.43048,1.18212,0.71565,0.22798,0.26905,0.13697,1.72431,1.72228,1.35372,5.977e-06,5.977e-06,5.977e-06
292,2919.96,1.40708,1.40337,1.16008,0.68829,0.23168,0.26523,0.13645,1.72628,1.72403,1.35743,5.5183e-06,5.5183e-06,5.5183e-06
293,2929.86,1.41923,1.40666,1.16439,0.68548,0.22894,0.25662,0.13332,1.73035,1.72474,1.36008,5.0596e-06,5.0596e-06,5.0596e-06
294,2939.63,1.4217,1.4068,1.17691,0.68354,0.23038,0.25353,0.1317,1.73155,1.72391,1.36001,4.6009e-06,4.6009e-06,4.6009e-06
295,2949.45,1.44432,1.45222,1.18837,0.65834,0.23375,0.25003,0.12992,1.73411,1.72605,1.36053,4.1422e-06,4.1422e-06,4.1422e-06
296,2959.22,1.39774,1.39155,1.16219,0.67829,0.23109,0.24918,0.12884,1.73487,1.72503,1.36129,3.6835e-06,3.6835e-06,3.6835e-06
297,2969.11,1.42258,1.39166,1.17575,0.68132,0.22847,0.2494,0.12961,1.73676,1.72623,1.36348,3.2248e-06,3.2248e-06,3.2248e-06
298,2978.99,1.40605,1.39212,1.16742,0.68223,0.22833,0.25137,0.13033,1.73624,1.73175,1.36479,2.7661e-06,2.7661e-06,2.7661e-06
299,2988.85,1.41341,1.39267,1.15053,0.68204,0.22818,0.25124,0.13029,1.73465,1.73171,1.36418,2.3074e-06,2.3074e-06,2.3074e-06
300,2998.65,1.40958,1.38924,1.16585,0.68198,0.22851,0.25139,0.13013,1.73717,1.73556,1.36706,1.8487e-06,1.8487e-06,1.8487e-06
